Hello;Ciao;Hola
Good morning;Buongiorno;Buenos días
Good afternoon;Buon pomeriggio;Buenas tardes
Good night;Buona notte;Buenas noches
How's it going?;Come va?;¿Qué tal?
How are you?;Come stai?;¿Cómo estás?
Nice to meet you;Piacere di conoscerti;Mucho gusto
Pleased to meet you;Piacere;Encantado/a
What's up?;Che succede?;¿Qué hay?
How's it going for you?;Come va per te?;¿Cómo te va?
Hi, how's it going?;Ciao, come va?;¡Hola, qué tal!
What's your name?;Come ti chiami?;¿Cómo te llamas?
Where are you from?;Di dove sei?;¿De dónde eres?
What do you do?;Che cosa fai?;¿Qué haces?
What's happening?;Cosa succede?;¿Qué pasa?
What are you doing?;Cosa stai facendo?;¿Qué estás haciendo?
What's your name?;Qual è il tuo nome?;¿Cuál es tu nombre?
How was your day?;Come è andata la tua giornata?;¿Qué tal tu día?
What do you do for a living?;Cosa fai nella vita?;¿A qué te dedicas?
Do you have siblings?;Hai fratelli?;¿Tienes hermanos?
Do you study or work?;Studi o lavori?;¿Estudias o trabajas?
What do you think of...?;Cosa ne pensi di...?;¿Qué opinas de...?
Do you like...?;Ti piace...?;¿Te gusta...?
Do you know...?;Sai...?;¿Sabes...?
Do you have free time?;Hai tempo libero?;¿Tienes tiempo libre?
My name is...;Mi chiamo...;Me llamo...
I am from...;Sono di...;Soy de...
I am ... years old;Ho ... anni;Tengo ... años
I work in...;Lavoro in...;Trabajo en...
I study at...;Studio in...;Estudio en...
I live in...;Vivo a...;Vivo en...
Are you interested in...?;Ti interessa...?;¿Te interesa...?
How do you say...?;Come si dice...?;¿Cómo se dice...?
Do you know...?;Conosci...?;¿Conoces...?
I'm learning;Sto imparando;Estoy aprendiendo
How interesting!;Che interessante!;¡Qué interesante!
Tell me more;Dimmi di più;Cuéntame más
Have you been here before?;Sei già stato qui?;¿Has estado aquí antes?
Excuse me, can you help me?;Scusa, puoi aiutarmi?;Perdona, ¿me puedes ayudar?
What time is it?;Che ora è?;¿Qué hora es?
What day is today?;Che giorno è oggi?;¿Qué día es hoy?
When...?;Quando...?;¿Cuándo...?
At what time...?;A che ora...?;¿A qué hora...?
Today;Oggi;Hoy
Tomorrow;Domani;Mañana
Yesterday;Ieri;Ayer
Now;Adesso;Ahora
Later;Più tardi;Más tarde
Soon;Presto;Pronto
And you?;E tu?;¿Y tú?
What do you think?;Cosa pensi?;¿Qué piensas?
Why?;Perché?;¿Por qué?
How was...?;Com'è stato...?;¿Cómo fue...?
I'd like to know more;Vorrei sapere di più;Me gustaría saber más
Tell me something about you;Dimmi qualcosa di te;Cuéntame algo de ti
Do you like traveling?;Ti piace viaggiare?;¿Te gusta viajar?
Have you traveled to...?;Hai viaggiato a...?;¿Has viajado a...?
What places do you like?;Quali posti ti piacciono?;¿Qué lugares te gustan?
What did you do over the weekend?;Cosa hai fatto nel fine settimana?;¿Qué hiciste el fin de semana?
I love it;Lo adoro;Me encanta
It's okay;Va bene;Está bien
I don't like it much;Non mi piace molto;No me gusta mucho
Please;Per favore;Por favor
Thank you;Grazie;Gracias
You're welcome;Prego;De nada
I'm sorry;Mi dispiace;Lo siento
Excuse me;Scusa;Disculpa
May I?;Posso?;Con permiso
Could you...?;Potresti...?;¿Podrías...?
Of course;Certo;Claro
Certainly;Sicuramente;Por supuesto
No problem;Nessun problema;No hay problema
To be;Essere;Ser
To be;Essere;Estar
To have;Avere;Tener
To do/make;Fare;Hacer
To want;Volere;Querer
To be able to;Potere;Poder
To go;Andare;Ir
To come;Venire;Venir
To say/tell;Dire;Decir
To know;Sapere;Saber
To know someone;Conoscere;Conocer
To speak;Parlare;Hablar
To listen;Ascoltare;Escuchar
To see;Vedere;Ver
To like;Piacere;Gustar
In;In;En
To;A;A
With;Con;Con
Without;Senza;Sin
For;Per;Para
Of;Di;De
By;Da;Por
On/about;Su;Sobre
Between;Tra;Entre
One;Uno;Uno
Two;Due;Dos
