Come va?;How's it going?
Come stai?;How are you?
Piacere di conoscerti;Nice to meet you
Posso fare questo?;Can I do this?
Sei capace di farlo?;Are you able to do it?
Di cosa si tratta?;What is it about?
È al di sopra?;Is it above?
Dall'altro lato;Across the way
Aggiungi altro;Add more
Dopo il lavoro;After work
Fallo di nuovo;Do it again
Contro di loro;Against them
Dieci anni fa;Ten years ago
L'aria è fresca;The air is fresh
Tutto è a posto;All is well
Quasi finito;Almost done
Da solo;Alone
Andiamo avanti;Along we go
È già pronto;It's already ready
Anch'io;Me too
Sebbene difficile;Although difficult
Sempre qui;Always here
Sono americano;I am American
Tra amici;Among friends
Un altro giorno;Another day
Rispondi alla domanda;Answer the question
C'è qualcosa?;Is there anything?
Sei in zona?;Are you in the area?
Intorno al parco;Around the park
Come hai chiesto;As you asked
Alla porta;At the door
Vieni qui;Come here
Andiamo via;Let's go away
Di nuovo indietro;Back again
Una bella giornata;A beautiful day
È diventato grande;He became big
Perché sei qui?;Why are you here?
Diventerà facile;It will become easy
È stato fatto;It has been done
Prima di uscire;Before going out
È appena iniziato;It just began
Inizia ora;Begin now
Dietro la casa;Behind the house
È sotto di noi;It is below us
Scommetto che puoi;I bet you can
È meglio così;It's better this way
Tra i due;Between the two
Una grande festa;A big party
Una camicia nera;A black shirt
Il cielo è blu;The sky is blue
Sulla barca;On the boat
Il tuo corpo è forte;Your body is strong
Un buon libro;A good book
Entrambi sono venuti;Both came
In fondo;At the bottom
Nella scatola;In the box
Un ragazzo simpatico;A nice boy
Porta qualcosa;Bring something
L'ha portato;He brought it
Costruiamo insieme;Let's build together
L'edificio è grande;The building is big
Ma perché?;But why?
Accanto al fiume;By the river
Ha chiamato prima;She called before
È venuto qui;He came here
Puoi farlo;You can do it
Non posso;I can't
Non posso farlo;I cannot do it
Hai una macchina?;Do you have a car?
Prenditi cura;Take care
Fai attenzione;Be careful
Portalo con te;Carry it with you
Al centro;In the center
Certo, è sicuro;Certainly, it is safe
